what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.core.epl,3.0.0.1342116881,"com.aptana.core.epl",1349000904028
opened,editor,com.aptana.editor.js,3.0.3.1344380420,"com.aptana.editor.js",1349000906387
activated,editor,com.aptana.editor.js,3.0.3.1344380420,"com.aptana.editor.js",1349000907509
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1349000907544
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349000994756
closed,editor,com.aptana.editor.js,3.0.3.1344380420,"com.aptana.editor.js",1349000994756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349001063992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349001068058
started,bundle,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1349001068184
opened,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1349001068902
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1349001069267
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1349001069289
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1349001071432
started,bundle,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1349001129011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349001209037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349001271715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349001273673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349001275128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349001282625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349001293640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349001294433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349001295622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349001298728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349001369230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349001544358
